Product,Month,Season
Kites,January,Winter
Sesame Seed Sweets (Til Gud),January,Winter
Sugarcane,January,Winter
Pongal Pot (Brass/Clay),January,Winter
Indian Flags,January,Winter
Tricolor Clothing,January,Winter
Patriotic Merchandise,January,Winter
Popcorn & Rewari,January,Winter
Room Heaters,January,Winter
Geysers & Water Heaters,January,Winter
Thermal Wear,January,Winter
Moisturizers & Cold Creams,January,Winter
Woolen Sweaters & Cardigans,January,Winter
Jackets & Coats,January,Winter
Winter Boots,January,Winter
Travel Bags & Luggage,January,Winter
Yellow Sarees,February,Winter
Yellow Kurtas,February,Winter
Books and Stationery,February,Winter
Musical Instruments (Guitars & Keyboards),February,Winter
Goddess Saraswati Idols,February,Winter
Flowers (Roses Lilies),February,Winter
Chocolates & Gift Hampers,February,Winter
Jewelry (Pendants Rings),February,Winter
Perfumes,February,Winter
Couple T-shirts,February,Winter
Smartwatches,February,Winter
Teddy Bears,February,Winter
Greeting Cards,February,Winter
Scented Candles,February,Winter
Wedding Lehengas,February,Winter
Sherwanis for Grooms,February,Winter
Gift Envelopes (Shagun),February,Winter
Herbal Gulal,March,Spring
Water Guns (Pichkaris),March,Spring
Water Balloons,March,Spring
White Kurtas,March,Spring
Waterproof Phone Covers,March,Spring
Skincare Products (Sunscreen Moisturizers),March,Spring
Gujiya Moulds,March,Spring
Thandai Mix,March,Spring
Pooja Essentials (Incense Lamps),March,Spring
Fasting Foods (Sabudana Nuts),March,Spring
Rudraksha Beads,March,Spring
Lord Shiva Idols,March,Spring
Bhang Making Ingredients,March,Spring
Puran Poli Mix,March,Spring
Gudi (Bamboo Stick with Kalash),March,Spring
Mango Leaves & Neem Leaves,March,Spring
Spring Cleaning Supplies,March,Spring
Gardening Tools & Seeds,March,Spring
Air Conditioners,March,Spring
New Ethnic Wear,April,Spring
Sweets & Mithai Boxes,April,Spring
Home Decor (Wall Hangings Torans),April,Spring
Kitchen Appliances (Mixer Grinders),April,Spring
Gold Coins,April,Spring
Easter Eggs,April,Spring
Baking Supplies,April,Spring
Lord Ram Idols,April,Spring
Mekhela Chador (Assamese Attire),April,Spring
Assamese Gamosa,April,Spring
Pitha Making Tools,April,Spring
Air Coolers,April,Spring
Cotton Clothing,April,Spring
Sunglasses,April,Spring
Travel Accessories,April,Spring
Gold & Silver Coins,May,Summer
Diamond Jewelry,May,Summer
Small Electronics (Headphones),May,Summer
White Clothes,May,Summer
Buddha Idols,May,Summer
Meditation Accessories (Cushions Mats),May,Summer
Greeting Cards,May,Summer
Cakes,May,Summer
Handbags,May,Summer
Personalized Gifts (Mugs Photo Frames),May,Summer
Refrigerators,May,Summer
Beverages & Syrups,May,Summer
Ice Cream Makers,May,Summer
Swimwear,May,Summer
Inflatable Pools,May,Summer
Summer Dresses,May,Summer
Sandals & Flip-flops,May,Summer
Wallets,June,Summer
Watches,June,Summer
Grooming Kits,June,Summer
Men's Shirts & T-shirts,June,Summer
Gadgets (Power Banks Speakers),June,Summer
Sherwanis,June,Summer
Salwar Suits,June,Summer
Sewaiyan (Vermicelli),June,Summer
Dates & Dry Fruits,June,Summer
Perfumes (Attar),June,Summer
School Bags & Backpacks,June,Summer
Lunch Boxes & Water Bottles,June,Summer
Notebooks & Textbooks,June,Summer
Stationery Sets,June,Summer
Umbrellas,June,Monsoon
Raincoats & Ponchos,June,Monsoon
Waterproof Footwear (Gumboots),June,Monsoon
Dehumidifiers,June,Monsoon
Umbrellas,July,Monsoon
Raincoats & Ponchos,July,Monsoon
Waterproof Footwear (Gumboots),July,Monsoon
Shawls,July,Monsoon
Miniature Chariots,July,Monsoon
Jagannath Balabhadra Subhadra Idols,July,Monsoon
Leheriya Sarees,July,Monsoon
Ghevar Sweet,July,Monsoon
Waterproof Makeup,July,Monsoon
Waterproof Phone Cases,July,Monsoon
Anti-fungal Foot Powder,July,Monsoon
Mosquito Repellents,July,Monsoon
Car Covers,July,Monsoon
Emergency Lights & Power Banks,July,Monsoon
Indoor Clothes Drying Racks,July,Monsoon
Friendship Bands,July,Monsoon
Umbrellas,August,Monsoon
Raincoats & Ponchos,August,Monsoon
Gumboots ,August,Monsoon
Rakhis ,August,Monsoon
Mosquito Repellents,August,Monsoon
Skincare Gift Sets,August,Monsoon
Kites,August,Monsoon
Krishna Idols,August,Monsoon
Miniature Swings (Jhula),August,Monsoon
Peacock Feathers,August,Monsoon
Ethnic Wear for Kids,August,Monsoon
Kasavu Sarees & Mundus,August,Monsoon
Flower Carpet (Pookalam) Making Supplies,August,Monsoon
Banana Chips & Payasam Mix,August,Monsoon
Onam Sadya Serving Items,August,Monsoon
Snake Idols (Silver/Brass),August,Monsoon
Immunity Boosters (Chyawanprash),August,Monsoon
Waterproof Phone Cases,August,Monsoon
Anti-fungal Foot Powder,August,Monsoon
Mosquito Repellents,August,Monsoon
Board Games & Puzzles,August,Monsoon
Umbrellas,September,Monsoon
Raincoats & Ponchos,September,Monsoon
Waterproof Footwear (Gumboots),September,Monsoon
Eco-friendly Ganesha Idols,September,Monsoon
Modak Moulds,September,Monsoon
Home Decoration Lights,September,Monsoon
Pens & Diaries,September,Monsoon
Gift Cards,September,Monsoon
Flower Garlands,September,Monsoon
Camphor & Incense,September,Monsoon
Sweets for distribution (Laddoos),September,Monsoon
Waterproof Phone Cases,September,Monsoon
Anti-fungal Foot Powder,September,Monsoon
Mosquito Repellents,September,Monsoon
Tools and Hardware,September,Monsoon
Safety Equipment (Gloves Goggles),September,Monsoon
Laptops & Printers,September,Monsoon
Chaniya Choli,October,Post-Monsoon
Dandiya Sticks,October,Post-Monsoon
Ethnic Oxidised Jewelry,October,Post-Monsoon
Fasting Food Items (Buckwheat flour),October,Post-Monsoon
Karwa (Earthen Pot),October,Post-Monsoon
Pooja Thali Sets,October,Post-Monsoon
Sieve for Karwa Chauth,October,Post-Monsoon
Cosmetics & Makeup Kits,October,Post-Monsoon
Henna Cones,October,Post-Monsoon
Kheer Ingredients (Rice Milk Sugar),October,Post-Monsoon
Silver Bowls/Spoons,October,Post-Monsoon
White/Pastel Ethnic Wear,October,Post-Monsoon
Ahoi Mata Photo/Calendar,October,Post-Monsoon
Halloween Costumes,October,Post-Monsoon
Pumpkin Carving Tools,October,Post-Monsoon
Spooky Decorations,October,Post-Monsoon
Diyas (Earthen Lamps),November,Post-Monsoon
LED String Lights,November,Post-Monsoon
Rangoli Stencils & Colors,November,Post-Monsoon
Laxmi-Ganesh Idols,November,Post-Monsoon
Mobile Phones,November,Post-Monsoon
Laptops,November,Post-Monsoon
Home Appliances (TVs Refrigerators),November,Post-Monsoon
Home Furnishings (Bedsheets Curtains),November,Post-Monsoon
Cookware Sets,November,Post-Monsoon
Kada (Steel Bracelet),November,Post-Monsoon
Turban Cloth,November,Post-Monsoon
Toys & Games,November,Post-Monsoon
School Supplies,November,Post-Monsoon
Cow Dung Cake for Puja,November,Post-Monsoon
Annakut Ingredients (Grains Vegetables),November,Post-Monsoon
Bamboo Baskets (Soop/Dagra),November,Post-Monsoon
Thekua Moulds (Saancha),November,Post-Monsoon
Corporate Gift Hampers,November,Post-Monsoon
Silverware & Utensils,November,Post-Monsoon
Dry Fruit Gift Boxes,November,Post-Monsoon
Artificial Christmas Trees,December,Winter
Christmas Ornaments & Baubles,December,Winter
Wreaths & Garlands,December,Winter
Santa Claus Costumes,December,Winter
Plum Cakes & Baking Moulds,December,Winter
Party Decorations (Balloons Banners),December,Winter
Party Wear (Dresses Suits),December,Winter
Bar Accessories (Cocktail Shakers),December,Winter
Planners & Diaries for New Year,December,Winter
Christmas Sweaters,December,Winter
Gingerbread House Kits,December,Winter
New Year Party Props,December,Winter
Fitness Equipment & Health Gadgets,December,Winter
Gift Wrapping Paper & Bags,December,Winter
Home Audio Systems,December,Winter
